name,reclat,reclong,mass (g),year,family
Cotopaxi,38.46483,-105.7015,243.0,2000.0,Iron meteorite
Yamato 75177,-71.5,35.66667,3.66,1975.0,Chondrite — Ordinary
Harrisonville,38.65,-94.33333,46500.0,1933.0,Chondrite — Ordinary
Asuka 87177,-72.0,26.0,32.69,1987.0,Chondrite — Ordinary
Alvord,43.32222,-96.28889,17500.0,1976.0,Iron meteorite
Lewis Cliff 88214,-84.25054,161.38681,76.5,1988.0,Chondrite — Ordinary
Northwest Africa 3310,0.0,0.0,679.0,2006.0,Achondrite — HED
Yamato 983832,0.0,0.0,29.95,1998.0,Chondrite — Ordinary
Lewis Cliff 88062,-84.24719,161.47906,8.9,1988.0,Chondrite — Ordinary
Acfer 012,27.8,4.16667,98.0,1989.0,Chondrite — Ordinary
Yamato 790078,-71.5,35.66667,5.9,1979.0,Chondrite — Ordinary
Dhofar 1156,18.751639,54.352361,108.0,2005.0,Chondrite — Ordinary
Elephant Moraine 87828,-76.28391,156.45395,14.8,1987.0,Chondrite — Ordinary
Grove Mountains 052405,-72.78389,75.27167,1.54,2006.0,Chondrite — Ordinary
Yamato 793489,-71.5,35.66667,4.2,1979.0,Chondrite — Ordinary
Asuka 87300,-72.0,26.0,27.87,1987.0,Chondrite — Ordinary
Northwest Africa 023,29.91667,-5.58333,76.0,1999.0,Chondrite — Ordinary
Northwest Africa 5127,0.0,0.0,15.0,2001.0,Chondrite — Ordinary
Grosvenor Mountains 95607,-85.66667,175.0,71.4,1995.0,Chondrite — Ordinary
Queen Alexandra Range 97304,-84.0,168.0,18.8,1997.0,Chondrite — Ordinary
Dar al Gani 074,27.16033,16.03533,86.0,1995.0,Chondrite — Ordinary
Thiel Mountains 91721,-85.16349,-94.60018,233.6,1991.0,Chondrite — Ordinary
Sayh al Uhaymir 475,20.16558,56.62803,32.101,2002.0,Chondrite — Ordinary
Lewis Cliff 88151,-84.24608,161.40195,5.9,1988.0,Chondrite — Ordinary
Merceditas,-26.33333,-70.28333,42900.0,1884.0,Iron meteorite
Yamato 982157,0.0,0.0,4.89,1998.0,Chondrite — Ordinary
Dhofar 385,19.11203,54.8059,480.0,2001.0,Chondrite — Ordinary
Mount Prestrud 95403,-86.56667,-165.11667,199.1,1995.0,Chondrite — Ordinary
Jiddat al Harasis 424,19.92282,56.35117,160.32,2007.0,Achondrite — Primitive/Other
Northwest Africa 799,0.0,0.0,1850.0,2001.0,Chondrite — Ordinary
Dhofar 1754,19.393,54.55417,580.0,2001.0,Achondrite — HED
Yamato 983588,0.0,0.0,13.88,1998.0,Chondrite — Ordinary
Lewis Cliff 85326,-84.28464,161.37553,224.7,1985.0,Chondrite — Ordinary
Yamato 86740,-71.5,35.66667,1.94,1986.0,Chondrite — Ordinary
Yamato 74639,-71.5,35.66667,89.5,1974.0,Chondrite — Ordinary
Ramlat as Sahmah 392,20.14502,55.70945,0.4,2010.0,Chondrite — Ordinary
Queen Alexandra Range 94317,-84.0,168.0,1.2,1994.0,Chondrite — Ordinary
Tanezrouft 029,25.54111,0.49667,36.0,1991.0,Chondrite — Ordinary
Yamato 790828,-71.5,35.66667,8.84,1979.0,Chondrite — Ordinary
Dhofar 1463,18.45278,54.16155,23.6,2008.0,Chondrite — Ordinary
Dominion Range 08493,0.0,0.0,22.8,2008.0,Chondrite — Ordinary
Lewis Cliff 86155,-84.2568,161.40239,18.3,1986.0,Chondrite — Ordinary
Grove Mountains 054473,-72.91611,75.10028,60.88,2006.0,Chondrite — Ordinary
Lewis Cliff 86336,-84.27384,161.68604,8.3,1986.0,Chondrite — Ordinary
Acfer 185,27.53333,3.83333,109.0,1990.0,Chondrite — Ordinary
Queen Alexandra Range 94664,-84.0,168.0,10.7,1994.0,Chondrite — Ordinary
Yamato 81090,-71.5,35.66667,2.46,1981.0,Chondrite — Ordinary
Larkman Nunatak 06281,0.0,0.0,762.4,2006.0,Chondrite — Ordinary
Queen Alexandra Range 93181,-84.57601,162.5627,1.3,1993.0,Chondrite — Ordinary
Elephant Moraine 96090,-76.18333,157.16667,40.0,1996.0,Chondrite — Ordinary
Acfer 350,27.672,4.52633,128.0,2001.0,Chondrite — Ordinary
Queen Alexandra Range 99054,-84.0,168.0,6.3,1999.0,Chondrite — Ordinary
Talpa,31.86667,-99.58333,13000.0,1963.0,Chondrite — Ordinary
Allan Hills 84074,-77.02126,156.98388,757.5,1984.0,Chondrite — Ordinary
Northwest Africa 6675,0.0,0.0,510.0,2010.0,Achondrite — Primitive/Other
Dhofar 128,19.285,54.71067,30.0,2000.0,Chondrite — Ordinary
Yamato 791319,-71.5,35.66667,137.4,1979.0,Chondrite — Ordinary
Grove Mountains 050028,-72.99556,75.19472,8.91,2006.0,Chondrite — Ordinary
Queen Alexandra Range 94488,-84.0,168.0,11.5,1994.0,Chondrite — Ordinary
Meteorite Hills 00568,-79.68333,155.75,63.34,2000.0,Chondrite — Ordinary
Yamato 74308,-71.5,35.66667,3.01,1974.0,Chondrite — Ordinary
Roundup,46.78333,-108.56667,17590.0,1990.0,Iron meteorite
Miller Range 07701,0.0,0.0,5.7,2007.0,Chondrite — Carbonaceous
Yamato 790790,-71.5,35.66667,42.75,1979.0,Chondrite — Ordinary
Miller Range 99314,-83.25,157.0,150.7,1999.0,Chondrite — Ordinary
Asuka 881123,-72.0,26.0,30.23,1988.0,Chondrite — Ordinary
Thumrayt 002,17.9695,54.06633,3072.0,2007.0,Chondrite — Ordinary
Bir Zar 001,31.481,9.84069,627.0,2008.0,Chondrite — Ordinary
Elephant Moraine 87719,-76.26647,156.49436,65.7,1987.0,Chondrite — Ordinary
Elephant Moraine 96325,-76.18333,157.16667,2.1,1996.0,Chondrite — Ordinary
Yamato 981927,0.0,0.0,4.86,1998.0,Chondrite — Ordinary
Frontier Mountain 01052,-72.98944,160.40694,14.6,2001.0,Chondrite — Ordinary
Lewis Cliff 85399,-84.26917,161.39696,8.2,1985.0,Chondrite — Ordinary
Grosvenor Mountains 95538,-85.66667,175.0,353.3,1995.0,Chondrite — Ordinary
Meteorite Hills 01044,-79.68333,159.75,127.9,2001.0,Chondrite — Ordinary
Allan Hills A77254,-76.71667,159.66667,245.8,1977.0,Chondrite — Ordinary
Tokio (a),33.21667,-102.63167,6600.0,1974.0,Chondrite — Ordinary
Northwest Africa 6617,0.0,0.0,71.0,2009.0,Chondrite — Ordinary
Ramlat as Sahmah 331,20.0915,56.3575,360.0,2004.0,Chondrite — Ordinary
Yamato 983539,0.0,0.0,3.25,1998.0,Chondrite — Ordinary
Asuka 882102,-72.0,26.0,992.45,1988.0,Chondrite — Ordinary
Pampa del Infierno,-26.68333,-61.08333,896.0,1895.0,Chondrite — Ordinary
David Glacier 92300,-75.31667,162.0,26.7,1992.0,Chondrite — Carbonaceous
Yamato 982859,0.0,0.0,520.0,1998.0,Chondrite — Ordinary
Queen Alexandra Range 93644,-84.0,168.0,3.6,1993.0,Chondrite — Ordinary
Acfer 269,27.51472,3.86556,276.0,1991.0,Chondrite — Ordinary
Yamato 792573,-71.5,35.66667,6.49,1979.0,Chondrite — Ordinary
Yamato 86332,-71.5,35.66667,4.74,1986.0,Chondrite — Ordinary
Asuka 87210,-72.0,26.0,43.16,1987.0,Chondrite — Ordinary
Yamato 86161,-71.5,35.66667,0.91,1986.0,Chondrite — Ordinary
Larkman Nunatak 06821,0.0,0.0,66.9,2006.0,Chondrite — Ordinary
Yamato 86280,-71.5,35.66667,26.46,1986.0,Chondrite — Ordinary
Frontier Mountain 03079,-72.95414,160.44164,19.1,2003.0,Chondrite — Ordinary
Grove Mountains 020571,-72.98417,75.24694,50.07,2003.0,Chondrite — Ordinary
Grove Mountains 021878,-72.777778,75.328333,1.3,2003.0,Chondrite — Ordinary
Frontier Mountain 95024,-72.9525,160.50833,6.3,1995.0,Chondrite — Ordinary
Frontier Mountain 03046,-72.95217,160.5225,11.55,2003.0,Chondrite — Ordinary
Grove Mountains 090994,-72.98489,75.24867,369.1,2010.0,Stony-iron
Sayh al Uhaymir 187,20.56945,57.32167,4211.0,2002.0,Chondrite — Ordinary
Pima County,32.2,-111.0,210.0,1947.0,Iron meteorite
Asuka 880673,-72.0,26.0,18.0,1988.0,Chondrite — Ordinary
Allan Hills A77036,-76.71667,159.66667,8.5,1977.0,Chondrite — Ordinary
Miller Range 090161,0.0,0.0,1.3,2009.0,Chondrite — Ordinary
